,game_date,pitch_type,pitcher,at_bat_number,pitch_number
161,2023-10-07,FF,675911,1,1
318,2023-10-07,FF,675911,2,1
258,2023-10-07,SL,675911,2,2
347,2023-10-07,SL,675911,2,3
158,2023-10-07,FF,675911,2,4
143,2023-10-07,SL,675911,3,1
166,2023-10-07,SL,675911,3,2
251,2023-10-07,FF,675911,3,3
228,2023-10-07,CH,675911,3,4
319,2023-10-07,FF,675911,4,1
119,2023-10-07,FF,675911,4,2
245,2023-10-07,FF,675911,8,1
307,2023-10-07,FF,675911,8,2
174,2023-10-07,FF,675911,8,3
241,2023-10-07,CH,675911,8,4
243,2023-10-07,FF,675911,8,5
283,2023-10-07,CH,675911,8,6
117,2023-10-07,FF,675911,8,7
320,2023-10-07,SL,675911,9,1
289,2023-10-07,FF,675911,9,2
237,2023-10-07,FF,675911,9,3
346,2023-10-07,FF,675911,10,1
343,2023-10-07,SL,675911,10,2
206,2023-10-07,SL,675911,10,3
274,2023-10-07,FF,675911,10,4
145,2023-10-07,FF,675911,14,1
167,2023-10-07,FF,675911,14,2
151,2023-10-07,FF,675911,14,3
287,2023-10-07,FF,675911,14,4
293,2023-10-07,FF,675911,14,5
138,2023-10-07,SL,675911,14,6
292,2023-10-07,FF,675911,15,1
54,2023-10-07,FF,675911,16,1
76,2023-10-07,FF,675911,16,2
77,2023-10-07,SL,675911,16,3
74,2023-10-07,SL,675911,16,4
51,2023-10-07,FF,675911,20,1
101,2023-10-07,FF,675911,20,2
48,2023-10-07,FF,675911,20,3
50,2023-10-07,FF,675911,20,4
75,2023-10-07,FF,675911,21,1
80,2023-10-07,FF,675911,21,2
44,2023-10-07,SL,675911,21,3
72,2023-10-07,FF,675911,21,4
55,2023-10-07,SL,675911,21,5
85,2023-10-07,FF,675911,21,6
96,2023-10-07,FF,675911,22,1
87,2023-10-07,SL,675911,22,2
69,2023-10-07,SL,675911,22,3
100,2023-10-07,FF,675911,23,1
43,2023-10-07,FF,675911,23,2
63,2023-10-07,FF,675911,23,3
53,2023-10-07,FF,675911,23,4
78,2023-10-07,FF,675911,24,1
64,2023-10-07,SL,675911,24,2
60,2023-10-07,FF,675911,24,3
73,2023-10-07,SL,675911,24,4
89,2023-10-07,FF,675911,24,5
210,2023-10-07,SL,656546,29,1
260,2023-10-07,SL,656546,29,2
216,2023-10-07,FS,656546,29,3
185,2023-10-07,SL,656546,29,4
165,2023-10-07,SL,656546,29,5
152,2023-10-07,SL,656546,29,6
171,2023-10-07,FS,656546,30,1
181,2023-10-07,SL,656546,30,2
220,2023-10-07,FF,656546,30,3
239,2023-10-07,FS,656546,30,4
126,2023-10-07,FS,656546,30,5
68,2023-10-07,SL,675911,31,1
97,2023-10-07,SL,675911,32,1
90,2023-10-07,SL,675911,32,2
49,2023-10-07,FF,675911,32,3
91,2023-10-07,FF,675911,32,4
45,2023-10-07,FF,675911,32,5
82,2023-10-07,FF,675911,33,1
57,2023-10-07,SL,675911,33,2
71,2023-10-07,SL,675911,33,3
102,2023-10-07,SL,675911,33,4
95,2023-10-07,FF,675911,33,5
40,2023-10-07,SL,675911,34,1
7,2023-10-07,CH,675911,34,2
36,2023-10-07,FF,675911,34,3
25,2023-10-07,SL,675911,34,4
35,2023-10-07,SL,675911,34,5
338,2023-10-07,FF,622554,35,1
275,2023-10-07,SI,622554,35,2
169,2023-10-07,SI,622554,36,1
137,2023-10-07,SL,622554,36,2
163,2023-10-07,SI,622554,36,3
225,2023-10-07,SI,622554,36,4
223,2023-10-07,FF,622554,36,5
